period,group,employment_rate,n_individuals,weighted_n
2006-2007,prime-age,0.9440132416693612,417895,39490.4946423583
2009-2010,prime-age,0.9277773745680495,394576,39563.7007933545
2006-2007,young,0.7892642562912974,41793,3753.6201347908
2009-2010,young,0.7339501353029146,34338,3403.8237549812998
